date,index_symbol,eod_index_value,high,low,index_market_value,dividend_market_value
2025-10-08,NQX,5027.32,5028.43,4976.45,31105078736506.0,
2025-10-09,NQX,5019.64,5028.07,4993.36,31057503728142.0,548273483.0
2019-12-06,NQX,1679.47,1681.17,1673.05,9379744646856.0,
2019-10-03,NQX,1527.68,1528.09,1492.71,8571509327394.0,1839078843.0
2019-02-19,NQX,1413.32,1417.82,1406.55,8079879233556.0,
2025-04-15,NQX,3766.05,3800.83,3750.97,23088918463493.0,
2025-08-19,NQX,4676.95,4739.16,4669.27,28984326642687.0,438649119.0
2025-04-14,NQX,3759.2,3822.85,3722.95,23046975888260.0,
2025-08-18,NQX,4742.75,4746.7,4727.48,29392092666784.0,1013916428.0
2025-08-13,NQX,4769.81,4793.85,4757.82,29559767021488.0,
2025-08-14,NQX,4766.49,4781.65,4749.8,29539194939411.0,762298288.0
2019-03-25,NQX,1463.39,1468.5,1453.06,8246382461708.0,
2019-02-20,NQX,1412.47,1419.23,1405.47,8074992893214.0,3740376565.0
2019-02-12,NQX,1402.93,1404.35,1389.67,8020488183475.0,
2019-10-09,NQX,1538.11,1543.59,1531.1,8630012783744.0,143994947.0
2025-08-15,NQX,4742.41,4762.8,4730.24,29389999665618.0,2622548686.0
2019-01-17,NQX,1343.69,1349.46,1327.42,7684466519114.0,
2022-01-18,NQX,3042.15,3089.29,3036.61,17944911499411.0,
2022-10-06,NQX,2297.1,2332.11,2294.57,13451377531262.0,346285913.0
2025-08-12,NQX,4767.84,4769.9,4704.86,29547566831942.0,
2025-08-11,NQX,4705.33,4739.61,4696.85,29160160629547.0,3246749695.0
2022-11-03,NQX,2138.12,2170.44,2136.16,12520415009488.0,147362171.0
2025-08-06,NQX,4663.01,4666.1,4608.45,28897904104927.0,
2018-07-12,NQX,1473.25,1473.74,1454.82,8340553786366.0,
2025-08-07,NQX,4677.91,4712.15,4645.14,28990224448819.0,
2025-08-08,NQX,4722.25,4723.85,4687.46,29265058371538.0,1316468856.0
2018-10-10,NQX,1408.9,1465.85,1408.41,8093816694826.0,
2018-09-26,NQX,1512.62,1527.52,1510.65,8689654950312.0,
2018-06-12,NQX,1441.84,1442.9,1434.75,8220855362892.0,
2025-08-05,NQX,4603.71,4657.21,4601.63,28530426395333.0,373238303.0
2021-12-28,NQX,3297.73,3321.44,3291.7,19452519402174.0,
2025-08-04,NQX,4637.72,4638.21,4594.72,28741193270604.0,
2025-07-30,NQX,4669.08,4689.43,4645.38,28935547073331.0,
2021-01-11,NQX,2580.5,2604.64,2576.72,14737459695087.0,
2025-07-31,NQX,4643.62,4717.87,4635.22,28777776429705.0,2023693763.0
2025-08-01,NQX,4552.66,4594.49,4534.77,28214060139969.0,944736710.0
2025-07-29,NQX,4661.66,4702.2,4656.68,28889549290713.0,679114019.0
2021-01-28,NQX,2640.31,2680.37,2630.02,15079030361442.0,
2021-01-25,NQX,2696.66,2712.74,2641.12,15400859112798.0,
2021-12-27,NQX,3313.5,3313.53,3272.21,19545529649783.0,
2025-07-28,NQX,4671.25,4677.35,4659.96,28949002145220.0,
2025-07-23,NQX,4632.48,4633.7,4600.09,28588087443261.0,
2025-07-24,NQX,4643.97,4653.74,4630.05,28659005769577.0,
2025-07-25,NQX,4654.45,4665.26,4638.8,28723656666659.0,26249362.0
2021-06-25,NQX,2869.04,2880.34,2864.85,16386141349699.0,80702301.0
2025-07-22,NQX,4612.72,4637.29,4590.77,28466109865552.0,
2025-07-21,NQX,4636.01,4652.89,4624.59,28609879040323.0,637162948.0
