close,high,low,open,time,volume,date
420.09,426.42,419.87,423.81,1603166400,193700.0,2020-10-20 04:00:00
419.73,426.42,416.48,421.47,1603252800,237100.0,2020-10-21 04:00:00
423.59,427.83,417.57,421.34,1603339200,357200.0,2020-10-22 04:00:00
429.66,429.73,423.55,429.67,1603425600,227000.0,2020-10-23 04:00:00
428.96,434.93,426.23,427.67,1603684800,394800.0,2020-10-26 04:00:00
443.16,444.96,430.27,430.27,1603771200,385800.0,2020-10-27 04:00:00
422.89,441.48,422.11,434.5,1603857600,475500.0,2020-10-28 04:00:00
441.8,453.2,433.09,440.0,1603944000,557800.0,2020-10-29 04:00:00
424.82,441.72,419.12,438.47,1604030400,611100.0,2020-10-30 04:00:00
431.05,446.74,428.08,430.48,1604293200,552200.0,2020-11-02 05:00:00
444.1,448.29,437.32,437.32,1604379600,382300.0,2020-11-03 05:00:00
469.36,482.5,451.58,455.26,1604466000,734200.0,2020-11-04 05:00:00
467.97,480.19,462.68,473.99,1604552400,440500.0,2020-11-05 05:00:00
478.1,479.15,466.36,469.99,1604638800,519800.0,2020-11-06 05:00:00
436.45,485.0,435.58,485.0,1604898000,822900.0,2020-11-09 05:00:00
441.23,443.72,421.15,431.89,1604984400,865500.0,2020-11-10 05:00:00
455.06,455.74,443.69,443.69,1605070800,432200.0,2020-11-11 05:00:00
449.22,462.56,445.06,459.62,1605157200,396400.0,2020-11-12 05:00:00
453.64,458.35,448.67,452.99,1605243600,254300.0,2020-11-13 05:00:00
455.37,459.43,448.82,452.09,1605502800,499900.0,2020-11-16 05:00:00
455.85,457.0,450.54,454.62,1605589200,315400.0,2020-11-17 05:00:00
444.06,455.0,443.65,451.36,1605675600,347400.0,2020-11-18 05:00:00
457.19,457.81,444.77,444.77,1605762000,318500.0,2020-11-19 05:00:00
464.29,469.13,455.0,456.23,1605848400,411400.0,2020-11-20 05:00:00
459.79,467.26,449.71,467.26,1606107600,440300.0,2020-11-23 05:00:00
446.83,466.77,446.46,459.49,1606194000,494800.0,2020-11-24 05:00:00
446.48,454.82,443.14,449.24,1606280400,338900.0,2020-11-25 05:00:00
454.23,455.97,446.68,452.05,1606453200,173900.0,2020-11-27 05:00:00
460.98,461.09,451.31,454.77,1606712400,589700.0,2020-11-30 05:00:00
467.86,468.98,452.22,461.99,1606798800,386700.0,2020-12-01 05:00:00
462.59,467.5,461.5,465.51,1606885200,352000.0,2020-12-02 05:00:00
460.07,467.83,458.38,463.85,1606971600,352600.0,2020-12-03 05:00:00
457.15,463.26,455.87,462.96,1607058000,387600.0,2020-12-04 05:00:00
459.36,462.7,454.2,455.92,1607317200,320400.0,2020-12-07 05:00:00
460.69,461.92,453.24,461.92,1607403600,436200.0,2020-12-08 05:00:00
449.88,462.45,449.11,458.91,1607490000,436100.0,2020-12-09 05:00:00
454.27,456.05,449.04,450.49,1607576400,592500.0,2020-12-10 05:00:00
456.23,457.62,447.82,455.57,1607662800,327200.0,2020-12-11 05:00:00
458.17,477.37,457.28,458.84,1607922000,460800.0,2020-12-14 05:00:00
464.96,467.4,453.8,460.66,1608008400,287700.0,2020-12-15 05:00:00
467.58,474.3,463.46,466.53,1608094800,466600.0,2020-12-16 05:00:00
477.8,477.8,468.35,471.69,1608181200,369400.0,2020-12-17 05:00:00
485.52,486.99,474.0,478.49,1608267600,898800.0,2020-12-18 05:00:00
489.68,490.44,470.26,480.06,1608526800,383300.0,2020-12-21 05:00:00
499.15,499.62,487.76,488.01,1608613200,331500.0,2020-12-22 05:00:00
493.68,502.0,492.82,499.06,1608699600,253100.0,2020-12-23 05:00:00
497.14,499.12,493.16,495.82,1608786000,69500.0,2020-12-24 05:00:00
494.7,503.83,490.25,503.63,1609131600,216600.0,2020-12-28 05:00:00
494.07,501.04,490.05,497.97,1609218000,247600.0,2020-12-29 05:00:00
496.96,501.29,494.51,497.7,1609304400,195400.0,2020-12-30 05:00:00
499.87,500.41,492.0,495.51,1609390800,228400.0,2020-12-31 05:00:00
491.77,504.66,483.13,503.0,1609736400,472300.0,2021-01-04 05:00:00
497.26,498.93,487.51,488.91,1609822800,356000.0,2021-01-05 05:00:00
483.6,491.67,479.36,489.05,1609909200,634000.0,2021-01-06 05:00:00
495.19,497.49,483.49,483.49,1609995600,499500.0,2021-01-07 05:00:00
513.2,513.56,499.29,499.79,1610082000,401400.0,2021-01-08 05:00:00
506.55,516.87,503.83,515.57,1610341200,441000.0,2021-01-11 05:00:00
496.73,509.47,491.22,507.09,1610427600,353200.0,2021-01-12 05:00:00
497.58,501.56,494.22,496.18,1610514000,299600.0,2021-01-13 05:00:00
488.9,499.75,487.89,497.31,1610600400,333900.0,2021-01-14 05:00:00
489.46,494.24,480.93,487.93,1610686800,340900.0,2021-01-15 05:00:00
484.93,489.3,481.35,489.24,1611032400,327200.0,2021-01-19 05:00:00
495.04,496.78,485.84,486.41,1611118800,285300.0,2021-01-20 05:00:00
496.44,498.56,487.49,493.0,1611205200,254600.0,2021-01-21 05:00:00
492.86,498.98,490.0,490.73,1611291600,329400.0,2021-01-22 05:00:00
489.21,495.97,482.09,492.47,1611550800,349600.0,2021-01-25 05:00:00
478.1,488.35,476.33,488.35,1611637200,346900.0,2021-01-26 05:00:00
465.18,475.81,455.23,474.86,1611723600,583100.0,2021-01-27 05:00:00
482.27,492.81,465.31,465.31,1611810000,493500.0,2021-01-28 05:00:00
478.68,491.88,471.75,481.05,1611896400,493600.0,2021-01-29 05:00:00
492.42,497.65,479.37,483.02,1612155600,573000.0,2021-02-01 05:00:00
506.65,522.9,502.0,504.34,1612242000,702000.0,2021-02-02 05:00:00
485.36,507.63,484.15,504.17,1612328400,605200.0,2021-02-03 05:00:00
494.0,495.12,486.03,487.91,1612414800,440600.0,2021-02-04 05:00:00
502.64,506.0,495.01,496.29,1612501200,299200.0,2021-02-05 05:00:00
495.76,510.25,491.44,504.31,1612760400,427600.0,2021-02-08 05:00:00
505.05,506.28,493.3,497.31,1612846800,442200.0,2021-02-09 05:00:00
516.54,521.49,505.31,509.26,1612933200,540900.0,2021-02-10 05:00:00
528.47,529.45,515.18,519.3,1613019600,411800.0,2021-02-11 05:00:00
544.08,545.85,528.0,530.74,1613106000,325000.0,2021-02-12 05:00:00
538.16,548.58,531.19,545.0,1613451600,406200.0,2021-02-16 05:00:00
540.35,544.56,532.06,535.9,1613538000,371900.0,2021-02-17 05:00:00
551.79,573.99,535.17,537.04,1613624400,1574200.0,2021-02-18 05:00:00
544.13,563.56,542.76,561.21,1613710800,655000.0,2021-02-19 05:00:00
536.91,547.12,534.01,547.12,1613970000,461400.0,2021-02-22 05:00:00
525.22,535.09,508.11,534.82,1614056400,591100.0,2021-02-23 05:00:00
532.88,534.75,517.27,526.23,1614142800,440200.0,2021-02-24 05:00:00
518.28,535.38,509.45,530.08,1614229200,427800.0,2021-02-25 05:00:00
520.17,526.37,507.34,522.9,1614315600,593900.0,2021-02-26 05:00:00
538.17,541.29,521.35,529.68,1614574800,415900.0,2021-03-01 05:00:00
529.47,543.28,527.17,542.08,1614661200,312000.0,2021-03-02 05:00:00
498.02,526.3,495.58,524.76,1614747600,531100.0,2021-03-03 05:00:00
485.85,497.53,480.51,494.9,1614834000,676100.0,2021-03-04 05:00:00
