close,high,low,open,time,volume,date
205.6571,206.7768,202.6041,204.7383,1603339200,22351500.0,2020-10-22 04:00:00
206.9395,206.9874,204.0014,205.7911,1603425600,18879600.0,2020-10-23 04:00:00
201.0537,207.0448,199.1588,204.6618,1603684800,37111600.0,2020-10-26 04:00:00
204.0875,205.4465,201.293,202.4989,1603771200,36700300.0,2020-10-27 04:00:00
193.9717,199.867,193.4166,198.7473,1603857600,51195600.0,2020-10-28 04:00:00
195.9241,198.4506,194.6321,195.302,1603944000,31432600.0,2020-10-29 04:00:00
193.7707,195.5125,191.0431,194.7564,1604030400,36953700.0,2020-10-30 04:00:00
193.6367,196.46,191.5217,195.5125,1604293200,30842200.0,2020-11-02 05:00:00
197.5605,199.1779,194.3928,195.1297,1604379600,27512000.0,2020-11-03 05:00:00
207.0926,208.9397,203.2932,204.8245,1604466000,42311800.0,2020-11-04 05:00:00
213.6962,214.4905,211.6481,212.4999,1604552400,36080100.0,2020-11-05 05:00:00
214.1077,214.7202,208.6622,212.7104,1604638800,25231900.0,2020-11-06 05:00:00
209.0067,218.3186,208.5186,214.7967,1604898000,44395000.0,2020-11-09 05:00:00
201.9438,207.1979,200.7092,205.2839,1604984400,44045100.0,2020-11-10 05:00:00
207.2457,208.6717,203.0826,203.2645,1605070800,29440800.0,2020-11-11 05:00:00
206.1834,209.6957,205.2455,207.8774,1605157200,21593900.0,2020-11-12 05:00:00
207.2075,208.0784,204.9584,207.0639,1605243600,18621100.0,2020-11-13 05:00:00
207.8966,208.3847,205.303,205.638,1605502800,24953300.0,2020-11-16 05:00:00
205.2456,208.3272,204.8819,206.8151,1605589200,24154100.0,2020-11-17 05:00:00
202.5396,206.4641,202.3957,205.0056,1605675600,28372800.0,2020-11-18 05:00:00
203.8254,204.4108,201.4362,202.8275,1605762000,24792700.0,2020-11-19 05:00:00
201.8776,204.6602,201.5034,203.6143,1605848400,22843100.0,2020-11-20 05:00:00
201.6089,203.7007,199.7378,202.4149,1606107600,25683500.0,2020-11-23 05:00:00
205.2072,205.5814,200.4095,201.1099,1606194000,33979700.0,2020-11-24 05:00:00
205.2168,206.5793,203.8638,206.4066,1606280400,21012900.0,2020-11-25 05:00:00
206.5217,207.5197,205.3799,206.1571,1606453200,14512200.0,2020-11-27 05:00:00
205.4087,206.0707,202.3094,205.4375,1606712400,33064800.0,2020-11-30 05:00:00
207.4621,208.5272,204.7178,205.8309,1606798800,30904500.0,2020-12-01 05:00:00
206.6561,206.7521,204.1901,206.1859,1606885200,23724500.0,2020-12-02 05:00:00
205.5718,207.6252,205.0057,205.9268,1606971600,25120900.0,2020-12-03 05:00:00
205.687,206.6657,204.5547,205.5526,1607058000,24666000.0,2020-12-04 05:00:00
205.6198,206.8192,204.3724,205.6965,1607317200,24620000.0,2020-12-07 05:00:00
207.2702,208.1721,204.2764,205.3127,1607403600,23284100.0,2020-12-08 05:00:00
203.2306,206.5218,202.6645,206.4546,1607490000,32440600.0,2020-12-09 05:00:00
